concept,layer,dist_asym,dist_lit,dist_sym,dist_scram
Giri,0,0.8947744,0.20451045,0.6233235,0.8947744
Giri,1,0.29240626,0.064905405,0.15987074,0.3681082
Giri,2,0.12423098,0.017884433,0.06095922,0.172858
Giri,3,0.12181729,0.013791382,0.046025276,0.16789502
Giri,4,0.08967048,0.012404263,0.04592067,0.11181259
Giri,5,0.08641994,0.014813185,0.063774586,0.11451578
Giri,6,0.089855194,0.025228739,0.080257535,0.13545752
Giri,7,0.003960192,0.000990808,0.0025666356,0.003884256
Giri,8,0.0044770837,0.0010399818,0.0025895238,0.004660368
Giri,9,0.0054492354,0.0014093518,0.0031844974,0.005764425
Giri,10,0.0066536665,0.0017798543,0.0038539171,0.007506728
Giri,11,0.008856773,0.0027419329,0.004368067,0.009426832
Giri,12,0.011092246,0.003242731,0.004965842,0.011686206
Giri,13,0.013807118,0.004442215,0.006839454,0.014358759
Giri,14,0.018563747,0.005714953,0.009239554,0.019801497
Giri,15,0.02666068,0.007992506,0.012526512,0.02845949
Giri,16,0.04907477,0.012050688,0.020528555,0.049933434
Giri,17,0.06540769,0.016525924,0.02660817,0.06749928
Giri,18,0.10337043,0.022317886,0.04819405,0.1037246
Giri,19,0.15642917,0.02936995,0.071300864,0.14814764
Giri,20,0.17876798,0.03987813,0.1362747,0.1716634
Giri,21,0.25994796,0.0448668,0.16863704,0.24225909
Giri,22,0.38172996,0.066204846,0.26941139,0.34808654
Giri,23,0.55805385,0.06429714,0.34599137,0.52401453
Giri,24,1.0753639,0.11472076,0.63341105,1.1410309
Wa,0,0.83542943,0.20982856,0.7463824,0.83542943
Wa,1,0.45746553,0.07802534,0.3022309,0.46457893
Wa,2,0.14663947,0.017892838,0.074471235,0.1678142
Wa,3,0.15792936,0.014187336,0.057011187,0.15893495
Wa,4,0.11502975,0.0132879615,0.05469966,0.11012316
Wa,5,0.113461256,0.016541779,0.06693965,0.11265612
Wa,6,0.108103275,0.032580674,0.08029574,0.13561308
Wa,7,0.0045418143,0.0010872483,0.004539907,0.005336404
Wa,8,0.0051476955,0.001237154,0.0043200254,0.0063016415
Wa,9,0.0063304305,0.0016945004,0.005181372,0.00798291
Wa,10,0.00779742,0.0022686124,0.006160319,0.009987175
Wa,11,0.01002866,0.0029257536,0.00684911,0.011690736
Wa,12,0.012934923,0.0037208796,0.00864315,0.015291691
Wa,13,0.016378105,0.0049372315,0.0117625,0.019187331
Wa,14,0.022497416,0.0067136884,0.014564335,0.026315212
Wa,15,0.032755613,0.009418368,0.020349383,0.03793025
Wa,16,0.05556041,0.014119744,0.03001225,0.06423485
Wa,17,0.07277644,0.020215452,0.039238095,0.08428329
Wa,18,0.11056346,0.028636158,0.07029921,0.12477106
Wa,19,0.1637674,0.042160988,0.102255404,0.1726951
Wa,20,0.18697113,0.059080064,0.1900351,0.19990617
Wa,21,0.26479942,0.07362193,0.22374183,0.2706777
Wa,22,0.37926996,0.10699189,0.33629316,0.3803197
Wa,23,0.54162794,0.10027528,0.41718817,0.53407896
Wa,24,1.0996069,0.13159871,0.7648583,1.1272264
Ikigai,0,0.8984458,0.25374937,0.58140737,0.8984458
Ikigai,1,0.36997026,0.057388484,0.15767264,0.36528218
Ikigai,2,0.14253438,0.015924752,0.07449669,0.15084386
Ikigai,3,0.13188797,0.011623502,0.05638373,0.134184
Ikigai,4,0.10189682,0.013236582,0.052758396,0.10715622
Ikigai,5,0.11225623,0.019033492,0.07010138,0.1173507
Ikigai,6,0.14902014,0.036212206,0.08770156,0.17142135
Ikigai,7,0.0028188229,0.00046932697,0.0025693178,0.0030736327
Ikigai,8,0.003057599,0.00057309866,0.0024147034,0.0033586621
Ikigai,9,0.003684342,0.0008031726,0.0026472807,0.0039744973
Ikigai,10,0.0043663383,0.0010938048,0.0031015277,0.004725635
Ikigai,11,0.0050727725,0.0014961958,0.003422916,0.0056212544
Ikigai,12,0.005929768,0.0017148852,0.004066646,0.0065086484
Ikigai,13,0.0074305534,0.0022687912,0.005309522,0.008305669
Ikigai,14,0.010055363,0.0030554533,0.006900847,0.011204004
Ikigai,15,0.014633894,0.0045211315,0.0101085305,0.015904129
Ikigai,16,0.027837574,0.0068103075,0.015494227,0.028685689
Ikigai,17,0.0368371,0.0092455745,0.021878958,0.037671447
Ikigai,18,0.05399686,0.013985813,0.042116523,0.055388927
Ikigai,19,0.08351529,0.021038651,0.0741002,0.081775725
Ikigai,20,0.10650903,0.027807117,0.15357548,0.10326749
Ikigai,21,0.15858889,0.034102023,0.1941446,0.15507561
Ikigai,22,0.262639,0.050709426,0.3181967,0.2508387
Ikigai,23,0.40225774,0.07947147,0.4058078,0.38754827
Ikigai,24,1.0544436,0.2449879,0.704022,1.0291547
