layer,dist_asym,dist_lit,dist_sym,dist_scram
0,0.8762166,0.22269613,0.6503711,0.8762166
1,0.37328067,0.06677308,0.20659143,0.3993231
2,0.1378016,0.017234007,0.06997571,0.16383868
3,0.13721155,0.01320074,0.053140063,0.15367132
4,0.10219902,0.012976269,0.05112624,0.10969732
5,0.10404581,0.016796151,0.06693854,0.114840865
6,0.115659535,0.03134054,0.08275161,0.14749731
7,0.0037736099,0.00084912777,0.0032252867,0.0040980973
8,0.0042274594,0.0009500782,0.0031080842,0.004773557
9,0.0051546693,0.0013023416,0.00367105,0.005907277
10,0.006272475,0.0017140905,0.004371921,0.0074065127
11,0.007986069,0.0023879607,0.004880031,0.0089129405
12,0.009985645,0.002892832,0.0058918796,0.011162181
13,0.012538592,0.003882746,0.007970492,0.013950586
14,0.017038843,0.005161365,0.010234912,0.019106904
15,0.024683395,0.0073106685,0.014328142,0.027431289
16,0.044157583,0.01099358,0.022011677,0.04761799
17,0.05834041,0.015328984,0.02924174,0.06315134
18,0.08931025,0.021646619,0.053536594,0.09462819
19,0.13457061,0.03085653,0.08255216,0.13420616
20,0.15741605,0.042255104,0.15996176,0.15827902
21,0.22777875,0.050863583,0.19550782,0.2226708
22,0.341213,0.07463539,0.3079671,0.32641497
23,0.50064653,0.081347965,0.3896624,0.48188058
24,1.0764714,0.16376913,0.70076376,1.0991373
